timestamp,location_id,temp,pressure,humidity,wind_speed,precipitation,cloud_cover,uv
2023-08-25 21:55:15,Adilabad,28.8,1009,66,17.3,0.2,80,6
2023-08-25 22:04:21,Adilabad,28.1,1010,68,14.0,0.0,9,7
2023-08-25 22:13:31,Adilabad,23.6,1008,79,5.8,0.0,11,1
2023-08-25 22:22:39,Adilabad,24.0,1007,75,4.7,0.0,29,1
2023-08-25 22:31:44,Adilabad,26.0,1006,75,4.7,0.0,28,1
2023-08-25 22:40:51,Adilabad,24.9,1005,82,5.4,1.4,87,1
2023-08-25 22:49:56,Adilabad,23.0,1004,93,5.4,3.1,73,1
2023-08-25 22:59:01,Adilabad,23.2,1002,91,9.4,0.3,71,1
2023-08-25 23:08:09,Adilabad,24.7,1002,84,9.0,0.0,51,1
2023-08-25 23:17:14,Adilabad,24.4,1002,91,8.6,0.8,92,1
2023-08-25 23:26:20,Adilabad,23.8,1002,94,15.8,0.4,100,1
2023-08-25 23:35:31,Adilabad,24.0,1002,94,18.4,0.1,100,1
2023-08-25 23:44:39,Adilabad,22.4,1003,91,10.1,0.0,75,1
2023-08-25 23:53:44,Adilabad,23.5,1003,91,13.3,0.0,62,1
2023-08-26 00:02:49,Adilabad,23.3,1004,86,8.6,0.0,48,1
2023-08-26 00:11:54,Adilabad,23.7,1004,84,11.2,0.0,48,1
2023-08-26 00:21:02,Adilabad,23.4,1005,95,7.6,0.0,54,1
2023-08-26 00:30:08,Adilabad,23.2,1003,98,10.1,1.8,100,1
2023-08-26 00:39:17,Adilabad,23.9,1003,85,17.3,0.0,56,1
2023-08-26 00:48:24,Adilabad,23.1,1005,86,4.7,0.0,63,1
2023-08-26 00:57:32,Adilabad,22.7,1005,88,5.0,0.0,19,1
2023-08-26 01:06:37,Adilabad,24.9,1005,79,4.7,0.0,31,1
2023-08-26 01:15:46,Adilabad,24.1,1006,85,5.8,0.0,34,1
2023-08-26 01:24:56,Adilabad,24.0,1006,92,5.4,0.31,61,1
2023-08-26 01:34:05,Adilabad,23.6,1006,90,3.6,0.14,52,1
2023-08-26 01:43:13,Adilabad,22.7,1006,92,6.1,0.12,52,1
2023-08-26 01:52:23,Adilabad,23.7,1007,91,5.4,0.0,58,1
2023-08-26 02:01:33,Adilabad,22.4,1006,93,8.3,0.32,90,1
2023-08-26 02:10:40,Adilabad,23.2,1005,92,5.8,1.56,76,1
2023-08-26 02:19:46,Adilabad,23.7,1005,90,5.0,0.0,47,1
2023-08-26 02:28:54,Adilabad,24.0,1005,89,3.6,0.0,28,1
2023-08-26 02:38:02,Adilabad,24.1,1005,87,3.6,0.0,48,1
2023-08-26 02:47:07,Adilabad,23.0,1006,92,7.6,0.0,43,1
2023-08-26 02:56:13,Adilabad,23.8,1005,87,5.0,0.0,89,1
2023-08-26 03:05:21,Adilabad,23.3,1004,89,4.7,0.0,17,1
2023-08-26 03:14:27,Adilabad,23.5,1006,86,7.9,0.0,24,1
2023-08-26 03:23:36,Adilabad,21.9,1008,82,6.5,0.0,5,1
2023-08-26 03:32:43,Adilabad,21.1,1009,82,6.8,0.0,0,1
2023-08-26 03:41:48,Adilabad,20.6,1008,82,7.6,0.0,2,1
2023-08-26 03:50:53,Adilabad,21.6,1008,80,6.5,0.0,4,1
2023-08-26 03:59:58,Adilabad,22.0,1009,77,5.4,0.0,7,1
2023-08-26 04:09:03,Adilabad,22.9,1010,77,5.8,0.0,27,1
2023-08-26 04:18:14,Adilabad,22.8,1011,74,3.6,0.0,11,1
2023-08-26 04:27:22,Adilabad,23.0,1011,70,5.8,0.0,9,1
2023-08-25 21:55:31,Agar,26.9,1009,67,20.9,0.0,17,7
2023-08-25 22:04:38,Agar,26.3,1010,71,18.7,0.0,24,7
2023-08-25 22:13:48,Agar,22.5,1009,81,14.0,0.0,11,1
2023-08-25 22:22:55,Agar,23.7,1008,69,10.4,0.0,22,1
2023-08-25 22:32:01,Agar,23.9,1008,74,11.2,0.0,13,1
2023-08-25 22:41:07,Agar,23.5,1007,76,13.0,0.0,10,1
2023-08-25 22:50:12,Agar,24.4,1005,75,14.8,0.0,44,1
2023-08-25 22:59:18,Agar,25.7,1004,66,15.8,0.0,18,1
2023-08-25 23:08:25,Agar,23.9,1003,82,9.7,0.7,70,1
2023-08-25 23:17:30,Agar,23.3,1003,96,13.3,0.3,91,1
2023-08-25 23:26:37,Agar,23.0,1001,98,19.8,4.3,100,1
2023-08-25 23:35:48,Agar,23.4,1002,97,5.8,1.4,84,1
2023-08-25 23:44:55,Agar,22.9,1002,96,20.2,0.6,100,1
2023-08-25 23:54:00,Agar,22.9,1002,92,24.8,0.0,43,1
2023-08-26 00:03:05,Agar,23.4,1003,88,24.5,0.0,39,1
2023-08-26 00:12:11,Agar,23.1,1004,86,22.7,0.0,99,1
2023-08-26 00:21:18,Agar,24.0,1004,95,16.2,0.0,64,1
2023-08-26 00:30:25,Agar,22.8,1004,98,14.4,1.3,100,1
2023-08-26 00:39:34,Agar,23.3,1000,97,21.6,3.5,100,1
2023-08-26 00:48:41,Agar,22.3,999,98,22.0,0.4,100,1
2023-08-26 00:57:48,Agar,21.0,1002,93,20.9,0.0,100,1
2023-08-26 01:06:54,Agar,21.5,1005,97,9.0,0.0,100,1
2023-08-26 01:16:03,Agar,22.7,1007,96,7.2,0.0,61,1
2023-08-26 01:25:13,Agar,23.7,1007,92,10.1,0.03,82,1
2023-08-26 01:34:22,Agar,23.5,1006,93,14.8,1.54,85,1
2023-08-26 01:43:30,Agar,22.7,1006,96,10.8,0.57,58,1
2023-08-26 01:52:40,Agar,23.1,1007,94,11.5,0.0,33,1
2023-08-26 02:01:50,Agar,23.1,1007,95,13.0,0.0,53,1
2023-08-26 02:10:56,Agar,23.2,1006,90,9.7,0.0,16,1
2023-08-26 02:20:03,Agar,24.0,1007,86,6.8,0.0,26,1
2023-08-26 02:29:11,Agar,24.1,1007,86,5.4,0.0,9,1
2023-08-26 02:38:18,Agar,24.8,1006,77,4.0,0.0,31,1
2023-08-26 02:47:23,Agar,23.4,1007,61,3.6,0.0,10,1
2023-08-26 02:56:30,Agar,22.3,1006,60,5.8,0.0,21,1
2023-08-26 03:05:37,Agar,22.3,1006,52,5.8,0.0,6,1
2023-08-26 03:14:44,Agar,22.1,1008,70,11.9,0.0,1,1
2023-08-26 03:23:53,Agar,21.3,1009,64,11.5,0.0,0,1
2023-08-26 03:32:59,Agar,20.5,1009,67,12.2,0.0,0,1
2023-08-26 03:42:04,Agar,20.9,1008,72,15.1,0.0,0,1
2023-08-26 03:51:09,Agar,21.0,1009,75,13.3,0.0,2,1
2023-08-26 04:00:14,Agar,21.4,1010,78,12.2,0.0,0,1
2023-08-26 04:09:19,Agar,22.0,1011,74,12.6,0.0,0,1
2023-08-26 04:18:31,Agar,21.7,1012,77,11.2,0.0,0,1
2023-08-26 04:27:38,Agar,21.6,1012,69,11.2,0.0,0,1
2023-08-25 21:54:45,Agra,32.8,1005,46,17.3,0.0,12,8
2023-08-25 22:03:51,Agra,31.8,1006,51,18.7,0.0,10,8
2023-08-25 22:13:01,Agra,28.8,1004,58,8.6,0.0,7,1
2023-08-25 22:22:09,Agra,28.7,1005,56,9.7,0.0,7,1
2023-08-25 22:31:14,Agra,29.5,1004,52,9.0,0.0,6,1
2023-08-25 22:40:21,Agra,28.8,1003,48,11.5,0.0,3,1
2023-08-25 22:49:26,Agra,28.8,1002,46,11.2,0.0,4,1
2023-08-25 22:58:31,Agra,28.0,1002,70,9.0,0.0,5,1
2023-08-25 23:07:39,Agra,27.8,1004,74,13.0,0.0,44,1
2023-08-25 23:16:44,Agra,27.7,1003,59,8.6,0.0,46,1
2023-08-25 23:25:50,Agra,28.7,1002,74,9.4,0.3,59,1
2023-08-25 23:35:01,Agra,25.7,1002,88,17.3,0.5,74,1
